Предмет,Група,Врста,Датум,Садржај рада,Предметни професор
Хемија,Цело одељење,писмена вежба,12. 2. 2024.,Дисперзни системи,Оља Радивојевић
Рачунарски системи,Цело одељење,контролни задатак,14. 2. 2024.,Логичке функције,Николина Станојевић
Математика,Цело одељење,писмена вежба,20. 2. 2024.,Примена подударности,Милица Цветковић
Физика,Цело одељење,контролни задатак,23. 2. 2024.,Кретање са убрзањем Г.,Далибор Рајковић
Програмирање,Програмирање вежбе - 1. група,контролни задатак,26. 2. 2024.,Функције.,Далибор Рајковић
Програмирање,Програмирање вежбе - 2. група,контролни задатак,27. 2. 2024.,Функције.,Далибор Рајковић
Српски језик и књижевност,Цело одељење,писмени задатак,8. 3. 2024.,Хеленска књижевност,Марија Илић
